,id,media_id,score,title_in_romaji,title_in_english,episodes,source,genres,mean_score,description,duration,year_released
10,40915335,20785,8,Absolute Duo,Absolute Duo,12,LIGHT_NOVEL,"['Action', 'Ecchi', 'Romance', 'Supernatural']",60,"The story begins with Blaze — a weapon that is the manifestation of a human's soul. Tooru Kokonoe happens to be qualified for this, but for some reason his Blaze is not a weapon, but a shield. Moreover, he enrolled in a school that teaches combat skills, and thanks to the school's Duo partner system, he ends up living with a beautiful silver-haired girl.<br>
<br>
(Source: Anime News Network)",24,2015.0
11,40915336,11759,9,Accel World,Accel World,24,LIGHT_NOVEL,"['Action', 'Romance', 'Sci-Fi']",67,"The year is 2046. Haruyuki Arita is a young boy who finds himself on the lowest social rungs of his school. Ashamed of his miserable life, Haruyuki can only cope by indulging in virtual games. But that all changes when Kuroyukihime, the most popular girl in school, introduces him to a mysterious program called Brain Burst and a virtual reality called the Accel World. <br><br>
(Source: VIZ Media) ",24,2012.0
12,40915337,12291,9,Acchi Kocchi,Place to Place,12,MANGA,"['Comedy', 'Romance', 'Slice of Life']",72,"Everyone has a circle of friends they hang out with. But even within a small group there are smaller groups of friends, best friends and, here's where it gets complicated, boyfriends and girlfriends. Sometimes relationships just develop in a way where you're not exactly sure what you are to the other person. Which is the problem Tsumiki has when it comes to Io. Io's as tall and easygoing as Tsumiki is short in both temper and stature, but he also seems to be totally clueless about how she's starting to feel. Yet, at times, he's almost too affectionate. It's just confusing and irritating. And their prankster friends Mayoi and Sakaki aren't much help. Especially Mayoi, as it gives her one more thing to tease Tsumiki over. Hime, the fifth member of their usual gang of five isn't much better, because she's not really well connected to reality anyway. Which leaves Tsumiki stuck in a quandary. Are she and Io just best friends? And is it worth risking that for what Tsumiki wants?<br><br>
(Source: Sentai Filmworks)",24,2012.0
13,40915338,98251,8,Aho-Girl,AHO-GIRL,12,MANGA,"['Comedy', 'Romance']",65,"Yoshiko Hanabatake is an idiot beyond all belief. Somehow managing to consistently score zeroes on all of her tests and consumed by an absurd obsession with bananas, her senseless acts have caused even her own mother to lose all hope. Only one person is up to the task of keeping her insanity in check: childhood friend Akuru ""A-kun"" Akutsu.
<br><br>
Though he bemoans the ridiculous behavior he has to endure, the studious but terrifying A-kun is always ready to put an end to any stupidity Yoshiko gets up to, with no qualms about using physical force. Unfortunately, no matter how many times he attempts to knock some sense into her, the girl bounces right back to her usual shenanigans, even dragging in some other eccentrics along for the ride. Try as he might to rein in her nonsense, every moment is unpredictable with Yoshiko and her profound idiocy on the loose.
<br><br>
(Source: MAL Rewrite)",13,2017.0
14,40915339,53,9,Ai Yori Aoshi,Ai Yori Aoshi,24,MANGA,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",66,"Kaoru Hanabishi, a college student who lives alone, met a beautiful but bewildered girl dressed in a kimono at a train station. He volunteered to guide her way to the address she was looking for, which happened to be in his neighborhood, but turned out to be an empty lot. Not knowing what to do next, Kaoru invited the devastated girl to his apartment and asked for any additional clues to her destination. She supplied him with a photo of two children whom Kauru immediately identified as himself and Aoi Sakuraba, his childhood friend. It turned out that the girl in front of him is Aoi Sakuraba herself, his betrothed fiancee who came all the way to Tokyo to marry him. Her revelation was not only surprising but also reminded the deepest part of Kaoru's memory for why he left the Hanabishi family in the first place.",23,2002.0
15,40915340,394,9,Ai Yori Aoshi: Enishi,Ai Yori Aoshi: Enishi,12,MANGA,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",67,"Two years after meeting Aoi, Kaoru and gang are still up to their normal habits. Kaoru now in grad school and the tenants being as rowdy as ever what will become of Aoi and Kaoru's love.<br><br>
Two years has passed since Aoi and Kaoru were freed from the bonds of their families. They continue to live their normal lives with their usual friends in their house.",23,2003.0
16,40915341,101,10,AIR,Air,13,VISUAL_NOVEL,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",68,"Yukito Kunisaki is on a journey in search of the Winged Maiden who was bound to the sky centuries ago, after hearing an old childhood tale from his mother. As Yukito shows his puppet show to people in an attempt to make some money, he finds himself in a small town in which he did not expect to stay very long. However, when he meets an unusual girl named Misuzu, things take a drastic turn as he is invited to stay with her.<br><br>
By staying in the quaint town, Yukito soon becomes friends with the locals. As he gets to know them better, he learns of their problems and decides to help, putting his search for the Winged Maiden on hold. With his search on hold, and his growing attachment to Misuzu and the small town, will Yukito ever find the Winged Maiden, or is she closer than he thought?
<br><br>
[Written by MAL Rewrite]<br><br>

<i>Note: Includes episode 13, Soushuuhen (Summary).</i>",24,2005.0
17,40915342,230,10,Air Master,Air Master,27,MANGA,"['Action', 'Adventure', 'Comedy']",61,"A former gymnast, Aikawa Maki has turned her skills to a different way of life&mdash;street fighting. The only thing that truly makes her feel alive is violence. With amazing power and grace, she fights opponent after opponent, repeatedly demonstrating the gymnastic talent that earns her her nom de guerre, ""Airmaster.""",24,2003.0
18,40915343,102,8,Aishiteruze Baby★★,Love You Baby,26,MANGA,"['Comedy', 'Drama', 'Romance']",71,"Katakura Kippei is in every way a high school playboy. Spending his days flirting with any female he can see, responsibility is the last thing on his mind. Life takes an unexpected turn for him as one day he returns home to find himself with the fulltime task of caring for his 5 year old cousin. Kippei's aunt Miyako had disappeared, appearing to have abandoned his cousin, Yuzuyu. With Kippei's lack of responsibility and knowledge of childcare and Yuzuyu's injured heart with the disappearance of her mother, their time together is in for a bumpy ride. Based on the manga by Maki Youko.",25,2004.0
19,40915344,21058,8,Akagami no Shirayuki-hime,Snow White with the Red Hair,12,MANGA,"['Drama', 'Fantasy', 'Romance']",76,"In the kingdom of Tanbarun lives Shirayuki, an independent and strong-willed young woman. Her resourceful intelligence has led her become a skilled pharmacist, but her most defining trait is her shock of beautiful apple-red hair. Her dazzling mane gets her noticed by the prince of the kingdom, but instead of romancing her, he demands she be his concubine. Shirayuki refuses, chops off her lovely locks, and runs away to the neighboring kingdom of Clarines. There, she befriends a young man named Zen, who, SURPRISE, is also a prince, although with a much better temperament than the previous one. Watch as Shirayuki finds her place in the new kingdom, and in Zen’s heart.<br>
<br>
(Source: FUNimation)",24,2015.0
20,40915345,21258,9,Akagami no Shirayuki-hime 2nd Season,Snow White with the Red Hair Season 2,12,MANGA,"['Drama', 'Fantasy', 'Romance']",79,Second season of Akagami no Shirayuki-hime.,24,2016.0
21,40915346,20613,10,Akame ga Kill!,Akame ga Kill!,24,MANGA,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Horror', 'Psychological', 'Thriller']",72,"In a land where corruption rules and a ruthless Prime Minister has turned the puppet Emperor's armies of soldiers, assassins and secret police against the people, only one force dares to stand against them: Night Raid, an elite team of relentless killers, each equipped with an Imperial Arm - legendary weapons with unique and incredible powers created in the distant past.<br>
<br>
Rescued from a fate worse than death by Night Raid, young Tatsumi is offered the chance to join their lethal ranks… but it's a deadly choice, as few can master an Imperial Arm and even fewer survive when two Arms go against each other in combat. The battle is on, and only the strongest will make it out alive.
<br><br>
(Source: Sentai Filmworks)",24,2014.0
22,40915347,4744,8,Akane-iro ni Somaru Saka,The Hill Dyed Rose Madder,12,VISUAL_NOVEL,"['Comedy', 'Romance']",58,"On his way to school Junichi Nagase saves a girl from danger. Later due to a misunderstanding he kissed her. Shocked and disgusted, and without understanding what just happened or why, she screams at him and tells him to ""just die!"" As it turns out, the girl, Yuuhi Katagiri, is a new transfer student and, much to the surprise of Junichi and his younger sister Minato, their father arranged for Yuuhi to be Junichi's future wife! Of course, getting married to ""that perverted idiot"" is the absolute last thing Yuuhi wants! Junichi's crazy school life with his tsundere bride-apparent has begun!<br><br>
(Source: Animesuki, edited)",25,2008.0
23,40915348,20770,8,Akatsuki no Yona,Yona of the Dawn,24,MANGA,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Romance']",79,"Since Yona is the only princess of a grand kingdom, she has been raised with great care by her doting father and protected by her childhood friend/guard Hak and others. However, her fate changes on her 16th birthday, when her beloved cousin Soo-won murders her father to claim the throne. She flees the castle to Hak's hometown and begins her new life.<br>
<br>
(Source: Anime News Network)",24,2014.0
24,40915349,5112,8,Akikan!,Akikan!,12,LIGHT_NOVEL,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']",55,"Hobbies are often a great way of meeting new people, but how could Kakeru Diachi, who collects rare juice cans, have ever suspected that he'd meet a fascinating new girl when he attempted to DRINK her? Naming her Melon, because she's got great melon... soda, Kakeru quickly learns that she's an Akikan&mdash;a beautiful girl who's also a special can created to fight other Akikans in a strange experiment to determine what kind of container is better: steel or aluminum! <br><br>
Will becoming involved in this ridiculously twisted research project gone amuck complicate Kakeru's life incredibly? Of course it will, but because Melon's steel body needs carbon dioxide to breathe, he's now stuck with her since she's too CO2 dependent! And when his wealthy, attractive, best childhood friend Najimi gets HER own aluminum Akikan, the trouble really begins! <br><br>
(Source: Sentai Filmworks) ",23,2009.0
25,40915350,47,7,AKIRA,Akira,1,MANGA,"['Action', 'Adventure', 'Horror', 'Psychological', 'Sci-Fi', 'Supernatural']",79,"It's the year 2019, thirty-one years have passed since the start of World War III. A top-secret child with amazing powers of the mind breaks free from custody and accidentally gets a motorcycle gang involved in the project. This incident triggers psychic powers within one of the gang members, Tetsuo, and he is taken by the army to be experimented on. His mind has been altered and is now on the path of war, seeking revenge on the society that once called him weak. <br><br>
(Source: FUNimation) ",125,1988.0
26,40915351,97821,7,Alice to Zouroku,Alice & Zoroku,12,MANGA,"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Sci-Fi', 'Supernatural']",68,"The fantasy story begins with a group of young girls who hold a power named ""Alice's Dream,"" which allows them to make their imaginations come true. These girls have been locked up and treated as research subjects. Sana, one of these girls whose specific power includes the ability ignore the laws of physics and physically manifest anything she can imagine, has escaped. Afterwards, she meets an old man named Zouroku, who dislikes disruptions in his everyday life.<br><br>

(Source: Anime News Network)

<br><br>
<i>Note: The first episode aired with a runtime of ~44 minutes as opposed to the standard 25 minute long episode.</i>",25,2017.0
27,40915352,21659,9,Amaama to Inazuma,Sweetness & Lightning,12,MANGA,['Slice of Life'],73,"Having lost his wife, math teacher Kouhei Inuzuka is doing his best to raise his young daughter Tsumugi as a single father. He's pretty bad at cooking and doesn't have a huge appetite to begin with, but chance brings his little family and one of his students, Kotori Iida, together for homemade adventures. With those three cooks in the kitchen, it's no wonder this dinner table drama is so delicious.
<br><br>
(Source: Kodansha USA)",24,2016.0
28,40915353,8676,10,Amagami SS,Amagami SS,25,VISUAL_NOVEL,"['Comedy', 'Romance', 'Slice of Life']",69,"Two years ago, Junichi Tachibana had his heart broken by a girl who stood him up on a date on Christmas Eve. Now a second-year student in high school, Junichi is wary of love because of his past and dislikes celebrating Christmas. However this Christmas, his encounter with one of six girls from his school: Haruka Morishima, Kaoru Tanamachi, Sae Nakata, Ai Nanasaki, Rihoko Sakurai, or Tsukasa Ayatsuji will finally open up his heart to love again.",24,2010.0
29,40915354,11235,10,Amagami SS+ plus,,13,VISUAL_NOVEL,"['Comedy', 'Romance', 'Slice of Life']",71,"The second season of <i>Amagami SS</i>.<br>
<br>
The girls return, and this time the series examines what the future with each of his girlfriends would hold! If Junichi can handle a second go-round with Tsukasa, Rihoko, Ai, Kaoru, Sae, Haruka and even Risa is anyone's guess. To add to the fun, little sister Miya returns with her sneaky storyline as well!<br>
<br>
(Sentai Filmworks)",24,2012.0
30,40915355,20602,8,Amagi Brilliant Park,Amagi Brilliant Park,13,LIGHT_NOVEL,"['Comedy', 'Fantasy']",72,"When new transfer student Isuzu asks Seiya Kanie out on a date at gunpoint, he knows something odd is going on. Especially since she wants to go to Amagi Brilliant Park, where the rides are either dangerous or mind-numbingly dull and the only costumed performers who aren’t rude or apathetic are the ones who didn’t show up for work.<br>
<br>
So when Isuzu asks Seiya to take over as the park’s new manager, he knows she’s crazy (Well, crazy-er, given the gunpoint thing.).  But when Seiya learns that Amagi Brilliant Park is a REAL Magic Kingdom, that the costumed performers aren’t wearing costumes, that they live off the energy created by attendees, and that unless they can attract 250,000 attendees in three months, they’ll lose their jobs and homes… he goes a little crazy himself.<br>
<br>
But, even with the aid of scantily clad fairies, giant mice and sniper-trained sheep, can anyone rescue a park that’s sunk so low that its own bus doesn’t stop there anymore? The race is on to get the turnstiles turning and save Amagi Brilliant Park!<br>
<br>
(Source: Sentai Filmworks)",24,2014.0
31,40915356,15085,8,AMNESIA,AMNESIA,12,VISUAL_NOVEL,"['Fantasy', 'Mystery', 'Romance']",53,"This story takes place in a fictional town, in a fictional country, in a fictional world. One morning, a young lady awakens to find that she has lost all her memories prior to that morning. Her life, her relationships, her very name&mdash;all gone. All that's left is a cell phone with numbers and names she doesn't recognize and Orion, a young boy that only she appears to be able to see. With Orion's guidance, she struggles to make sense of herself, a boyfriend she doesn't know and the thousand and one little things that make up a daily life. But with no memories left, the only alternative is to forge new ones, even if that means leaving old loves behind.<br><br>
(Source: Sentai Filmworks)",23,2013.0
32,40915357,6547,9,Angel Beats!,Angel Beats!,13,ORIGINAL,"['Action', 'Comedy', 'Drama', 'Supernatural']",77,"Otonashi wakes up in the afterlife to find out he has no memories of his life before death. Desperate to survive in a war that could yield another unfortunate fate, he joins the SSS in the battle against Angel, whose very mission is to destroy all inhabitants of this afterlife. As Otonashi struggles to recover his memory and learn more about this world, he finds that not all is as it had seemed.<br><br>
(Source: Funimation)",24,2010.0
33,40915358,98607,6,Anime-Gataris,,12,ORIGINAL,['Comedy'],61,"The anime centers on Minoa Asagaya, a new high school student in Sakaneko Private High School. Despite being a novice to anime, Minoa's classmate Arisu Kamiigusa invites her to make an ""anime research club"" at school. Through conversations with her classmate Miko Kouenji, as well as various anime-loving upperclassmen, Minoa gradually gets hooked on anime. While they stand against the student council's continuous efforts to disband their club, and they ignore the impending end of the world, they talk about anime, whether in Akiba, or in real-life ""sacred place"" anime settings, or the hot springs.<br><br>

(Source: Anime News Network)",24,2017.0
34,40915359,9989,10,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day,11,ORIGINAL,"['Drama', 'Romance', 'Slice of Life', 'Supernatural']",80,"Jinta Yadomi and his group of childhood friends have become estranged after a tragic accident split them apart. Now in their high school years, a sudden surprise forces each of them to confront their guilt over what happened that day and come to terms with the ghosts of their past. <br><br>
(Source: NIS America)",22,2011.0
35,40915360,11433,9,Ano Natsu de Matteru,Waiting in the Summer,12,ORIGINAL,"['Comedy', 'Drama', 'Romance', 'Sci-Fi', 'Slice of Life']",71,"When a group of friends decide to make a movie over a long summer holiday, they end up learning a little about filmmaking and a lot more about each other and themselves. What begins as a simple way to avoid the summer doldrums quickly turns into something much more complex, intimate and revealing, as the maturing relationships between the members of the young cast take on new, and sometimes very unexpected, turns. <br><br>
(Source: Sentai Filmworks) ",23,2012.0
36,40915361,20755,9,Ansatsu Kyoushitsu,Assassination Classroom,22,MANGA,"['Action', 'Comedy', 'Drama', 'Supernatural']",79,"The students of class 3-E have a mission: kill their teacher before graduation. He has already destroyed the moon, and has promised to destroy the Earth if he can not be killed within a year. But how can this class of misfits kill a tentacled monster, capable of reaching Mach 20 speed, who may be the best teacher any of them have ever had?",23,2015.0
37,40915362,21170,10,Ansatsu Kyoushitsu 2,Assassination Classroom 2,25,MANGA,"['Action', 'Comedy', 'Drama', 'Supernatural']",83,"The second season of <i>Ansatsu Kyoushitsu</i>.<br>
<br>
The students return as school is back in session for the second semester. Following their exploits on the island during summer vacation, Class 3-E continues to sharpen their blades with their sights set on their teacher, the slippery Koro-sensei. They have more to worry about than just their teacher, however, as enemy assassins, both old and new, are out for the increased bounty on the octopus' head.<br>
<br>
Moreover, their rivals in Class A, as well as Kunugigaoka Junior High's fearsome principal, stand to block Class E from achieving academic excellence. With all of these obstacles opposing them, the group must continue to work together in order to overcome their foes and accomplish their goal of successfully assassinating their teacher.
",23,2016.0
38,40915363,20596,10,Ao Haru Ride,Blue Spring Ride,12,MANGA,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",75,"Yoshioka Futaba has a few reasons why she wants to ""reset"" her image & life as a new high school student. Because she's cute, she was ostracized by her female friends in junior high, and because of a misunderstanding, she couldn't get her feeling across to the one boy she has ever liked, Tanaka-kun.

Now in high school, she is determined to be as unladylike as possible so that her friends won't be jealous of her. While living her life this way contentedly, she meets Tanaka-kun again, but he now goes under the name of Mabuchi Kou. He tells her that he felt the same way as she did when they were younger, but now things can never be the same again. Will Futaba be able to continue her love that never even started from three years ago?
",23,2014.0
39,40915364,9919,8,Ao no Exorcist,Blue Exorcist,25,MANGA,"['Action', 'Fantasy', 'Supernatural']",72,"This world consists of two dimensions joined as one, like a mirror. The first is the world in which the humans live, Assiah. The other is the world of demons, Gehenna. Ordinarily, travel between the two, and indeed any kind of contact between the two, is impossible. However the demons can pass over into this world by possessing anything that exist within it. Satan the god of demons, but there's one thing that he doesn't have, and that's a substance in the human world that is powerful enough to contain him!! For that purpose he created Rin, his son from a human woman, but will his son agree to his plans? Or will he become something else...? An exorcist?
",24,2011.0
40,40915365,21861,9,Ao no Exorcist: Kyoto Fujouou-hen,Blue Exorcist: Kyoto Saga,12,MANGA,"['Action', 'Fantasy', 'Supernatural']",72,"In the late Edo Period, a demon known as the Impure King killed thousands of people. After defeating the demon, the Knights of the True Cross kept its left eye safely sealed away on Academy grounds - but now someone has stolen it! Hearing the thief has taken a child hostage, Yukio and Rin go to help. The investigation and pursuit will lead Rin and his friends to Kyoto and involve them even deeper in a sinister plot! But will his friends' knowledge that Rin is the son of Satan drive a wedge between them?<br><br>

(Source: Viz Media)",24,2017.0
41,40915366,21319,8,Ao no Kanata no Four Rhythm,AOKANA: Four Rhythm Across the Blue,12,VISUAL_NOVEL,"['Drama', 'Sci-Fi', 'Sports']",63,"The story is set on an archipelago of four islands far south of Japan or even the South Seas. It is all but a different world from modern Japan. From the discovery of anti-gravitons came the dream invention of anti-graviton shoes that let people fly the skies. They introduce people to a new realm by enabling flight with just one's own body strength, without feathers or engines. This led to the rise of the sport of ""Flying Circus"".<br>
<br>
The protagonist who once hoped for a future in this sport suffered a setback due to an overwhelming defeat, and withdrew from the sport for this and some other reason. However, he met the transfer student Asuka Kurashina, and in teaching her to fly the skies, the old passion returned. He takes part in the Flying Circus again.
<br><br>
(Source: Anime News Network)",24,2016.0
42,40915367,21078,7,Aoharu x Kikanjuu,Aoharu x Machinegun,12,MANGA,"['Action', 'Comedy', 'Slice of Life', 'Sports']",66,"When Hotaru Tachibana storms into a host club to avenge the honor of a wronged female student, the last thing Hotaru expects is to duel the club’s most popular host with airsoft guns instead of fists. When Masamune Matsuoka’s experience wins out over Tachibana’s brawn, he realizes that he can use his victory (and the large bill for damaging the club) to make Tachibana join his struggling Survival Gaming team. However, what ladies’ man Masamune totally misses is that his unwilling new guy… isn’t a guy at all! Under the boy’s clothing and strong need to defend justice, Tachibana is all-girl, but, for a number of complicated reasons, she absolutely CAN’T expose that fact to Masamune or his teammate, the erotic manga artist Tooru Yukimura.<br>
<br>
(Source: Sentai Filmworks)",23,2015.0
43,40915368,12967,7,Arcana Famiglia: La storia della Arcana Famiglia,La Storia Della Arcana Famiglia,12,VISUAL_NOVEL,"['Comedy', 'Romance', 'Supernatural']",57,"The Arcana Famiglia is a powerful organization that keeps the peace on the trading island of Regalo. The most unique trait of this prestigious ""family"" is their mastery of the Arcana - mystical powers derived from tarot cards. The current leader of the Arcana Famiglia, Mondo, wishes to choose a successor through a tournament called the Arcana Duello, and as an added incentive, the winner will take the hand of Mondo's daughter, Felicita. However, two young men among the family - impetuous Liberta and serious-minded Nova - are more interested in protecting Felicita's freedom than letting her be someone's trophy wife. Together, Liberta, Nova, and Felicita get to know each other better ... but with Felicita's ability to read minds, she may discover more than she bargained for in Liberta's violent past and Nova's troubled family history. Can the trio remain friends, or will the growing tension between them be too much to bear?<br><br>
(Source: Anime News Network)",24,2012.0
44,40915369,9736,10,Astarotte no Omocha!,Astarotte's Toy,12,MANGA,"['Comedy', 'Ecchi', 'Fantasy', 'Romance']",60,"While job hunting, Naoya is taken by a mysterious girl to a magical land where he is installed in the harem of the succubus Princess Lotte. Thanks to trauma from her childhood, Lotte hates men and surrounds herself with lots of other women, who all have quirks of their own. In spite of her selfishness, when Naoya learns that Lotte is really quite lonely he agrees to stay in her world ...if he can bring his daughter Asuha with him.
<br><br>
(Source: Anime News Network)",23,2011.0
45,40915370,4999,8,Asu no Yoichi!,Samurai Harem,12,MANGA,"['Comedy', 'Ecchi', 'Romance']",62,"His skill with a sword is magnificent but his social skills still need a lot of work! <br><br>
After many long years perfecting the art of fighting, 17-year-old Yoichi Karasuma is sent down from the remote mountains where he has been raised thinking that he's going to study some new martial arts techniques... but what he's really going to learn about are some slightly more practical things, like electrical appliances, modern clothing and, most especially, how NOT to make girls want to kill you! <br><br>
Unfortunately, that last lesson is one Yoichi may not survive, as his new dojo is infested with the infernal creatures in the form of the Ikaruga sisters, and they don't really seem to understand how ""proper"" girls are ""supposed"" to behave! Will Yoichi's bushido blade be struck down by the fearsome charms of Ibuki, Ayame, Chihaya, and Kagome? Or will the equally lethal girls from the rival Tsubame school be his undoing? <br><br>
(Source: RightStuf) ",24,2009.0
